"DAY","CELL_NAME","ENBNAME","FDD_TDD","DL_EARFCN","MMM","LTE_CONG"
16/07/23,"CAS1265_L6","CAS1265","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS1516_L6","CAS1516","CELL_FDD",3250,"07-2023",0
16/07/23,"JAD702_L2","JAD702","CELL_FDD",1850,"07-2023",0
16/07/23,"ATT015_L3","ATT015","CELL_FDD",1850,"07-2023",0
16/07/23,"SKL022_L2","SKL022","CELL_FDD",1850,"07-2023",0
16/07/23,"ATT015_L1","ATT015","CELL_FDD",1850,"07-2023",1
16/07/23,"CAS1499_L8","CAS1499","CELL_FDD",6200,"07-2023",1
16/07/23,"KBG694_L2","KBG694","CELL_FDD",1850,"07-2023",0
16/07/23,"FES098_L7","FES098","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1274_L8","CAS1274","CELL_FDD",6200,"07-2023",1
16/07/23,"CAS1114_L8","CAS1114","CELL_FDD",6200,"07-2023",0
16/07/23,"MAR1145_L7","MAR1145","CELL_FDD",6200,"07-2023",1
16/07/23,"TAN9137_TDD_L1","TAN9137","CELL_TDD",41825,"07-2023",0
16/07/23,"MAR152_TDD_L4","MAR152","CELL_TDD",42825,"07-2023",0
16/07/23,"CAS721_L3","CAS721","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN986_L2","TAN986","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS721_L6","CAS721","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS721_L7","CAS721","CELL_FDD",6200,"07-2023",0
16/07/23,"TAF006_L1","TAF006","CELL_FDD",1850,"07-2023",0
16/07/23,"TAF006_L3","TAF006","CELL_FDD",1850,"07-2023",0
16/07/23,"KSK920_L2","KSK920","CELL_FDD",1850,"07-2023",0
16/07/23,"FES078_L6","FES078","CELL_FDD",3250,"07-2023",0
16/07/23,"TEM018_L5","TEM018","CELL_FDD",3250,"07-2023",0
16/07/23,"MEK645_L2","MEK645","CELL_FDD",1850,"07-2023",0
16/07/23,"FES050_TDD_L5","FES050","CELL_TDD",42825,"07-2023",0
16/07/23,"MAR1152_L7","MAR1152","CELL_FDD",6200,"07-2023",0
16/07/23,"DAK141_L2","DAK141","CELL_FDD",1850,"07-2023",0
16/07/23,"DAK142_L3","DAK142","CELL_FDD",1850,"07-2023",0
16/07/23,"AGA046_TDD_L1","AGA046","CELL_TDD",41825,"07-2023",0
16/07/23,"RAB949_TDD_L3","RAB949","CELL_TDD",41825,"07-2023",0
16/07/23,"MOH629_L2","MOH629","CELL_FDD",1850,"07-2023",0
16/07/23,"KEN060_TDD_L3","KEN060","CELL_TDD",41825,"07-2023",0
16/07/23,"MEK098_TDD_L2","MEK098","CELL_TDD",41825,"07-2023",0
16/07/23,"CAS1531_L9","CAS1531","CELL_FDD",6200,"07-2023",0
16/07/23,"TRT848_L2","TRT848","CELL_FDD",1850,"07-2023",1
16/07/23,"CAS1498_L1","CAS1498","CELL_FDD",1850,"07-2023",0
16/07/23,"ALH915_L3","ALH915","CELL_FDD",1850,"07-2023",0
16/07/23,"MAR1174_L1","MAR1174","CELL_FDD",1850,"07-2023",0
16/07/23,"TEM066_L4","TEM066","CELL_FDD",3250,"07-2023",0
16/07/23,"DRI009_L9","DRI009","CELL_FDD",6200,"07-2023",1
16/07/23,"CAS1755_L3","CAS1755","CELL_FDD",1850,"07-2023",0
16/07/23,"MOB931_L1","MOB931","CELL_FDD",1850,"07-2023",1
16/07/23,"BRK010_L8","BRK010","CELL_FDD",6200,"07-2023",0
16/07/23,"FES1156_L7","FES1156","CELL_FDD",6200,"07-2023",0
16/07/23,"FES1180_L2","FES1180","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB1235_L2","RAB1235","CELL_FDD",1850,"07-2023",0
16/07/23,"BEN047_L1","BEN047","CELL_FDD",1850,"07-2023",0
16/07/23,"KEN102_L5","KEN102","CELL_FDD",3250,"07-2023",0
16/07/23,"JAD1018_L9","JAD1018","CELL_FDD",6200,"07-2023",0
16/07/23,"MOB102_L4","MOB102","CELL_FDD",3250,"07-2023",0
